team,star1_Player,star2_Player,star3_Player,star1_MP,star2_MP,star3_MP,star1_PTS,star2_PTS,star3_PTS,star1_TRB,star2_TRB,star3_TRB,star1_AST,star2_AST,star3_AST,star1_STL,star2_STL,star3_STL,star1_BLK,star2_BLK,star3_BLK,star1_eFG%,star2_eFG%,star3_eFG%,star1_TOV,star2_TOV,star3_TOV,top_combined_pts,top_combined_ast,top_combined_reb,star1_dominance,season
BRK,Cameron Johnson,Cam Thomas,Nic Claxton,31.6,31.2,26.9,18.8,24.0,10.3,4.3,3.3,7.4,3.4,3.8,2.2,0.9,0.6,0.9,0.4,0.1,1.4,0.582,0.513,0.568,1.7,2.5,1.2,53.1,9.4,15.0,0.3540489642184558,2025
CHI,Coby White,Nikola Vučević,Ayo Dosunmu,33.1,31.2,30.3,20.4,18.5,12.3,3.7,10.1,3.5,4.5,3.5,4.5,0.9,0.8,0.9,0.2,0.7,0.4,0.55,0.592,0.561,2.4,1.6,1.5,51.2,12.5,17.3,0.3984374999999999,2025
CHO,Brandon Miller,LaMelo Ball,Miles Bridges,34.2,32.0,31.7,21.0,25.2,20.3,4.9,4.9,7.5,3.6,7.4,3.9,1.1,1.1,0.7,0.7,0.3,0.7,0.509,0.494,0.495,2.8,3.6,2.1,66.5,14.9,17.3,0.3157894736842105,2025
CLE,Donovan Mitchell,Darius Garland,Evan Mobley,31.4,30.7,30.5,24.0,20.6,18.5,4.5,2.9,9.3,5.0,6.7,3.2,1.3,1.2,0.9,0.2,0.1,1.6,0.531,0.562,0.604,2.1,2.5,2.0,63.1,14.9,16.700000000000003,0.3803486529318542,2025
DAL,Kyrie Irving,P.J. Washington,Max Christie,36.1,32.2,30.4,24.7,14.7,11.2,4.8,7.8,4.2,4.6,2.3,2.5,1.3,1.1,0.9,0.5,1.1,0.3,0.549,0.521,0.502,2.2,2.1,1.5,50.6,9.4,16.8,0.4881422924901186,2025
DEN,Nikola Jokić,Jamal Murray,Christian Braun,36.7,36.1,33.9,29.6,21.4,15.4,12.7,3.9,5.2,10.2,6.0,2.6,1.8,1.4,1.1,0.6,0.5,0.5,0.627,0.543,0.634,3.3,2.1,1.0,66.4,18.8,21.8,0.4457831325301205,2025
DET,Cade Cunningham,Tobias Harris,Jaden Ivey,35.0,31.6,29.9,26.1,13.7,17.6,6.1,5.9,4.1,9.1,2.2,4.0,1.0,1.0,0.9,0.8,0.8,0.4,0.521,0.534,0.536,4.4,1.2,3.0,57.4,15.3,16.1,0.4547038327526133,2025
GSW,Jimmy Butler,Stephen Curry,Draymond Green,32.7,32.2,29.2,17.9,24.5,9.0,5.5,4.4,6.1,5.9,6.0,5.6,1.7,1.1,1.5,0.3,0.4,1.0,0.504,0.572,0.503,1.5,2.9,2.6,51.4,17.5,16.0,0.348249027237354,2025
HOU,Fred VanVleet,Jalen Green,Amen Thompson,35.2,32.9,32.2,14.1,21.0,14.1,3.7,4.6,8.2,5.6,3.4,3.8,1.6,0.9,1.4,0.4,0.3,1.3,0.483,0.505,0.575,1.5,2.5,2.0,49.2,12.8,16.5,0.2865853658536585,2025
IND,Tyrese Haliburton,Pascal Siakam,Myles Turner,33.6,32.7,30.2,18.6,20.2,15.6,3.5,6.9,6.5,9.2,3.4,1.5,1.4,0.9,0.8,0.7,0.5,2.0,0.582,0.572,0.577,1.6,1.4,1.7,54.4,14.1,16.9,0.3419117647058824,2025
LAC,James Harden,Ivica Zubac,Norman Powell,35.3,32.8,32.6,22.8,16.8,21.8,5.8,12.6,3.2,8.7,2.7,2.1,1.5,0.7,1.2,0.7,1.1,0.2,0.501,0.628,0.578,4.3,1.6,1.8,61.400000000000006,13.499999999999998,21.6,0.3713355048859935,2025
LAL,Luka Dončić,LeBron James,Austin Reaves,35.1,34.9,34.9,28.2,24.4,20.2,8.1,7.8,4.5,7.5,8.2,5.8,1.6,1.0,1.1,0.4,0.6,0.3,0.53,0.571,0.556,3.7,3.7,2.4,72.8,21.5,20.4,0.3873626373626374,2025
MEM,Desmond Bane,Ja Morant,Jaren Jackson Jr.,32.0,30.4,29.8,19.2,23.2,22.2,6.1,4.1,5.6,5.3,7.3,2.0,1.2,1.2,1.2,0.4,0.2,1.5,0.565,0.504,0.548,2.4,3.7,2.1,64.6,14.6,15.8,0.2972136222910216,2025
MIA,Tyler Herro,Bam Adebayo,Davion Mitchell,35.4,34.3,31.6,23.9,18.1,10.3,5.2,9.6,2.7,5.5,4.3,5.3,0.9,1.3,1.4,0.2,0.7,0.3,0.563,0.521,0.595,2.6,2.1,1.7,52.3,15.1,17.5,0.4569789674952199,2025
MIL,Damian Lillard,Giannis Antetokounmpo,Kyle Kuzma,36.1,34.2,31.8,24.9,30.4,14.5,4.7,11.9,5.6,7.1,6.5,2.2,1.2,0.9,0.5,0.2,1.2,0.4,0.547,0.607,0.52,2.8,3.1,2.2,69.8,15.8,22.200000000000003,0.3567335243553008,2025
